Ecoregion_US_L3CODE,Ecoregion_NARS
1,WMT
2,WMT
3,WMT
4,WMT
5,WMT
6,XER
7,XER
8,WMT
9,WMT
10,XER
11,WMT
12,WMT
13,XER
14,XER
15,WMT
16,WMT
17,WMT
18,XER
19,WMT
20,XER
21,WMT
22,XER
23,WMT
24,XER
25,SPL
26,SPL
27,SPL
28,TPL
29,SPL
30,SPL
31,SPL
32,SPL
33,CPL
34,CPL
35,CPL
36,SAP
37,SAP
38,SAP
39,SAP
40,TPL
41,NPL
42,NPL
43,NPL
44,SPL
45,SAP
46,TPL
47,TPL
48,TPL
49,UMW
50,UMW
51,UMW
52,UMW
53,TPL
54,TPL
55,TPL
56,UMW
57,TPL
58,NAP
59,NAP
60,NAP
61,NAP
62,NAP
63,CPL
64,SAP
65,CPL
66,SAP
67,SAP
68,SAP
69,SAP
70,SAP
71,SAP
72,TPL
73,CPL
74,CPL
75,CPL
76,CPL
77,WMT
78,WMT
79,XER
80,XER
81,XER
82,NAP
83,NAP
84,CPL
85,XER